,Loss,Correct,Accuracy
0,591.655461192131,22046.0,0.44092
1,416.29604893922806,30955.0,0.6191
2,334.1210113763809,34907.0,0.69814
3,279.0207035243511,37482.0,0.74964
4,244.7993946671486,39139.0,0.78278
5,221.9490350484848,40129.0,0.80258
6,203.3654371201992,41008.0,0.82016
7,188.37364742159843,41607.0,0.83214
8,174.09912127256393,42295.0,0.8459
9,163.24937823414803,42779.0,0.85558
10,153.56497679650784,43201.0,0.86402
11,144.05592468380928,43582.0,0.87164
12,135.56889034807682,44017.0,0.88034
13,129.0301485210657,44321.0,0.88642
14,120.53856997191906,44586.0,0.89172
15,113.58661158382893,44958.0,0.89916
16,109.24673154205084,45106.0,0.90212
17,102.44995331764221,45371.0,0.90742
18,97.51423969864845,45616.0,0.91232
19,92.79064160585403,45812.0,0.91624
20,89.70630630850792,45992.0,0.91984
21,85.01785653829575,46179.0,0.92358
22,81.04542274773121,46380.0,0.9276
23,76.4578635841608,46563.0,0.93126
24,73.15378169715405,46683.0,0.93366
25,69.96957447752357,46869.0,0.93738
26,65.05348123982549,47059.0,0.94118
27,63.203914761543274,47136.0,0.94272
28,61.78542909771204,47241.0,0.94482
29,57.20109147951007,47375.0,0.9475
30,55.042406167835,47508.0,0.95016
31,53.25617127865553,47573.0,0.95146
32,51.59405919164419,47668.0,0.95336
33,46.560278210788965,47898.0,0.95796
34,45.025585286319256,47926.0,0.95852
35,44.73962176591158,47951.0,0.95902
36,42.40893009863794,48079.0,0.96158
37,38.75145098567009,48251.0,0.96502
38,36.67853711359203,48361.0,0.96722
39,37.05089408531785,48277.0,0.96554
40,35.09441868029535,48358.0,0.96716
41,32.47279955726117,48494.0,0.96988
42,34.29728052765131,48419.0,0.96838
43,30.694845905527472,48579.0,0.97158
44,28.826778395101428,48682.0,0.97364
45,27.537622321397066,48762.0,0.97524
46,26.2930152034387,48834.0,0.97668
47,26.051538371481,48780.0,0.9756
48,24.832683400716633,48836.0,0.97672
49,23.80395865952596,48946.0,0.97892
50,23.04005068866536,48942.0,0.97884
51,21.148315253201872,49004.0,0.98008
52,20.414383896626532,49054.0,0.98108
53,19.565118921454996,49133.0,0.98266
54,19.39113816060126,49094.0,0.98188
55,18.754963350482285,49166.0,0.98332
56,18.654767354018986,49149.0,0.98298
57,18.166121975053102,49186.0,0.98372
58,15.0784068768844,49336.0,0.98672
59,15.7462857181672,49256.0,0.98512
60,14.520054089603946,49320.0,0.9864
61,14.724306060466915,49311.0,0.98622
62,14.74963480734732,49330.0,0.9866
63,14.799328020773828,49323.0,0.98646
64,12.682190063176677,49418.0,0.98836
65,13.018936464795843,49410.0,0.9882
66,12.38807295227889,49441.0,0.98882
67,11.39710518089123,49478.0,0.98956
68,11.251185937202536,49487.0,0.98974
69,10.77367785392562,49499.0,0.98998
70,11.009297134471126,49482.0,0.98964
71,10.669937634840608,49505.0,0.9901
72,9.754754604771733,49561.0,0.99122
73,9.447058132907841,49558.0,0.99116
74,9.043437279877253,49598.0,0.99196
75,9.227232901321258,49563.0,0.99126
76,8.658704484812915,49640.0,0.9928
77,8.663353392621502,49606.0,0.99212
78,7.895350119797513,49663.0,0.99326
79,8.361634424305521,49633.0,0.99266
80,7.419208611070644,49660.0,0.9932
81,7.311571012338391,49679.0,0.99358
82,7.892934818402864,49644.0,0.99288
83,7.213739666331094,49684.0,0.99368
84,6.881167586281663,49692.0,0.99384
85,6.088842954632128,49708.0,0.99416
86,6.198679159628227,49718.0,0.99436
87,5.779400546918623,49749.0,0.99498
88,6.041530799353495,49744.0,0.99488
89,6.385732067603385,49722.0,0.99444
90,5.056541027937783,49776.0,0.99552
91,5.174007164576324,49773.0,0.99546
92,6.302792651302298,49709.0,0.99418
93,5.341394381335704,49746.0,0.99492
94,4.732621917501092,49791.0,0.99582
95,4.338278894225368,49821.0,0.99642
96,4.655171484831953,49799.0,0.99598
97,4.633579034707509,49777.0,0.99554
98,4.591201796662062,49806.0,0.99612
99,4.703022629284533,49808.0,0.99616
100,4.069118725441513,49823.0,0.99646
101,3.8727819448540686,49819.0,0.99638
102,3.998188465659041,49821.0,0.99642
103,4.163243771632551,49817.0,0.99634
104,3.8041120336274616,49840.0,0.9968
105,3.358771901926957,49856.0,0.99712
106,3.996926712774439,49820.0,0.9964
107,3.7338901426264783,49837.0,0.99674
108,2.6864400170816225,49878.0,0.99756
109,3.077904017329274,49869.0,0.99738
110,3.0909718750044703,49867.0,0.99734
111,2.8247402408596827,49879.0,0.99758
112,2.794571724778507,49878.0,0.99756
113,3.2485262320624315,49854.0,0.99708
114,2.9907920537370956,49865.0,0.9973
115,2.8400650325638708,49880.0,0.9976
116,2.2122544211742934,49896.0,0.99792
117,2.8572324966298766,49874.0,0.99748
118,2.425095010723453,49898.0,0.99796
119,2.431339441536693,49892.0,0.99784
120,2.52526448872959,49895.0,0.9979
121,2.3423525995312957,49892.0,0.99784
122,2.285994739169837,49899.0,0.99798
123,1.915541632217355,49907.0,0.99814
124,2.3938923808163963,49894.0,0.99788
125,2.1892777551365725,49903.0,0.99806
126,1.9194912241127895,49921.0,0.99842
127,1.9008773060641033,49917.0,0.99834
128,1.6392698588242638,49919.0,0.99838
129,1.8707321465390123,49914.0,0.99828
130,1.834409274513746,49929.0,0.99858
131,1.9388951005203126,49917.0,0.99834
132,1.8717818386139697,49911.0,0.99822
133,1.6241387051777565,49930.0,0.9986
134,1.8571864487512357,49920.0,0.9984
135,1.624837852163182,49932.0,0.99864
136,1.2451665107546432,49954.0,0.99908
137,1.5152857331340783,49945.0,0.9989
138,1.4724442853403161,49945.0,0.9989
139,1.7028218391333212,49924.0,0.99848
140,1.2832570016435056,49954.0,0.99908
141,1.261711775774529,49954.0,0.99908
142,1.5734795542939537,49932.0,0.99864
143,1.124119043148312,49951.0,0.99902
144,1.386235302021305,49946.0,0.99892
145,1.1364843744795508,49949.0,0.99898
146,1.221357122529298,49944.0,0.99888
147,1.3383555987056752,49945.0,0.9989
148,1.1059064748151286,49948.0,0.99896
149,1.083798896922417,49962.0,0.99924
150,1.1330864571809798,49951.0,0.99902
151,0.8771022441887908,49962.0,0.99924
152,1.2601529647113239,49944.0,0.99888
153,1.307554876035283,49944.0,0.99888
154,1.0993245232912159,49955.0,0.9991
155,0.9099517345921413,49958.0,0.99916
156,0.9274398118814133,49959.0,0.99918
157,0.8291404841056647,49967.0,0.99934
158,1.0362218781156116,49958.0,0.99916
159,0.972059897498184,49958.0,0.99916
160,1.1036556804365318,49950.0,0.999
161,0.833765915600452,49968.0,0.99936
162,0.7009279434632845,49973.0,0.99946
163,0.6226962431928769,49979.0,0.99958
164,0.9084701888423297,49957.0,0.99914
165,0.6706047630232206,49975.0,0.9995
166,0.8510228982831904,49965.0,0.9993
167,0.7303099736730019,49967.0,0.99934
168,0.8044935320772311,49968.0,0.99936
169,0.6932974622443453,49970.0,0.9994
170,0.7709923289639846,49967.0,0.99934
171,0.8549100044328952,49964.0,0.99928
172,0.6196272100914939,49974.0,0.99948
173,0.6333705532911154,49977.0,0.99954
174,0.671708972497072,49970.0,0.9994
175,0.7366080601759677,49973.0,0.99946
176,0.5857573094199324,49978.0,0.99956
177,0.5121551589754745,49983.0,0.99966
178,0.4945606151791253,49980.0,0.9996
179,0.5828708757267123,49972.0,0.99944
180,0.6068828205225145,49981.0,0.99962
181,0.6941519284464448,49976.0,0.99952
182,0.6572683748570398,49973.0,0.99946
183,0.5290237682295356,49977.0,0.99954
184,0.6547232976881787,49973.0,0.99946
185,0.45846987240724957,49986.0,0.99972
186,0.45688272542292907,49980.0,0.9996
187,0.6174398649259274,49981.0,0.99962
188,0.3871061645204463,49986.0,0.99972
189,0.626805929260172,49972.0,0.99944
190,0.738832497160729,49969.0,0.99938
191,0.5724464638851714,49975.0,0.9995
192,0.42265057527356475,49988.0,0.99976
193,0.3884137691184151,49989.0,0.99978
194,0.45141791204378023,49981.0,0.99962
195,0.3915121664704202,49985.0,0.9997
196,0.5116207178352852,49980.0,0.9996
197,0.4766709003442884,49977.0,0.99954
198,0.6202961507560758,49978.0,0.99956
199,0.5174313874454128,49979.0,0.99958
